"date","product","region","store_type","store_id","units_sold","unit_price","revenue","promotion"
2024-06-11,"Coca-Cola Classic","Europe","Supermarket",4352,127,3.05793381515324,388.357594524461,"None"
2024-02-07,"Diet Coke","Asia Pacific","Supermarket",6800,89,1.14912332287594,102.271975735959,"New Product Launch"
2024-01-27,"Coca-Cola Classic","Africa","Convenience Store",4934,47,1.64435494963538,77.2846826328629,"BOGO"
2024-01-25,"Coca-Cola Classic","Europe","Supermarket",7549,113,2.35935941316831,266.607613688019,"None"
2024-06-07,"Diet Coke","Asia Pacific","Convenience Store",7862,103,1.71319815890532,176.459410367248,"None"
2024-05-01,"Coke Zero","North America","Restaurant",2244,92,3.41111767685889,313.822826271018,"None"
2024-03-19,"Coca-Cola Classic","Asia Pacific","Convenience Store",4428,84,1.78866056715614,150.247487641116,"None"
2024-03-30,"Coke Zero","Latin America","Restaurant",6760,89,3.4279903369541,305.091139988915,"None"
2024-03-23,"Fanta Orange","Asia Pacific","Convenience Store",6392,54,1.37758487504468,74.3895832524125,"Summer Sale"
2024-06-19,"Coca-Cola Classic","Latin America","Vending Machine",1101,72,2.67407999997011,192.533759997848,"None"
2024-01-08,"Coca-Cola Energy","Asia Pacific","Vending Machine",989,13,4.85920046216275,63.1696060081158,"None"
2024-05-05,"Coca-Cola Classic","North America","Gas Station",763,113,1.77031463719715,200.045554003278,"None"
2024-05-21,"Coca-Cola Classic","Europe","Gas Station",5333,62,2.1200782951485,131.444854299207,"None"
2024-01-13,"Coca-Cola Classic","North America","Supermarket",550,118,1.49630871675552,176.564428577151,"BOGO"
2024-06-28,"Coca-Cola Energy","North America","Restaurant",7216,49,5.94067215795059,291.092935739579,"None"
2024-01-30,"Coke Zero","Asia Pacific","Restaurant",4732,50,2.78956658978532,139.478329489266,"New Product Launch"
2024-06-23,"Sprite","Europe","Restaurant",1515,104,3.40142960361405,353.748678775861,"None"
2024-01-25,"Diet Coke","Asia Pacific","Convenience Store",7584,43,1.66197238541619,71.4648125728963,"None"
2024-04-22,"Coca-Cola Classic","North America","Convenience Store",4819,164,2.0398898359122,334.541933089601,"None"
2024-06-14,"Diet Coke","North America","Supermarket",1249,80,2.83641985925627,226.913588740502,"None"
2024-02-09,"Sprite","Europe","Convenience Store",6744,65,2.28556345769801,148.561624750371,"None"
2024-04-14,"Coca-Cola Classic","North America","Supermarket",7585,138,2.10170398897735,290.035150478874,"Holiday Special"
2024-06-10,"Coke Zero","Europe","Vending Machine",6879,40,3.28265835197302,131.306334078921,"BOGO"
2024-04-25,"Sprite","North America","Supermarket",3733,94,1.88306436271969,177.008050095651,"BOGO"
2024-05-01,"Coca-Cola Energy","Asia Pacific","Restaurant",4053,31,6.5671173695197,203.580638455111,"None"
2024-06-03,"Sprite","Europe","Restaurant",4101,210,3.78480122693537,794.808257656427,"None"
2024-01-28,"Diet Coke","North America","Vending Machine",7874,31,3.06086654510356,94.8868628982104,"None"
2024-01-10,"Coca-Cola Classic","Asia Pacific","Supermarket",1513,121,1.50088612847441,181.607221545403,"None"
2024-01-31,"Diet Coke","Europe","Restaurant",656,41,2.90614101926413,119.151781789829,"None"
2024-03-05,"Coca-Cola Classic","Europe","Supermarket",7968,182,1.68714238779174,307.059914578097,"BOGO"
2024-03-14,"Diet Coke","Asia Pacific","Vending Machine",7273,44,1.74496376274451,76.7784055607584,"BOGO"
2024-04-29,"Coca-Cola Energy","Asia Pacific","Gas Station",2128,21,3.02757260158273,63.5790246332373,"None"
2024-01-25,"Coke Zero","Latin America","Gas Station",298,62,1.78170569117457,110.465752852823,"Summer Sale"
2024-06-19,"Diet Coke","Africa","Restaurant",2145,71,2.82245127785543,200.394040727736,"None"
2024-01-20,"Sprite","Asia Pacific","Convenience Store",2581,77,1.42489386696882,109.716827756599,"None"
2024-01-30,"Coca-Cola Classic","Asia Pacific","Supermarket",2464,109,1.69948787033911,185.244177866963,"None"
2024-03-15,"Coca-Cola Classic","Europe","Gas Station",1751,64,2.10962172932705,135.015790676931,"None"
2024-03-28,"Coca-Cola Classic","Asia Pacific","Convenience Store",2612,128,1.63273822017658,208.990492182602,"Summer Sale"
2024-06-10,"Diet Coke","Asia Pacific","Vending Machine",2873,41,2.42380562711675,99.3760307117868,"None"
2024-02-07,"Coca-Cola Classic","North America","Supermarket",1019,105,1.91821460467483,201.412533490858,"None"
2024-04-16,"Sprite","Latin America","Supermarket",2189,132,1.83191591647518,241.812900974724,"None"
2024-04-03,"Coke Zero","Asia Pacific","Vending Machine",1564,18,2.82931736299556,50.9277125339201,"None"
2024-01-15,"Coca-Cola Classic","Europe","Vending Machine",5126,28,4.08909443343676,114.494644136229,"None"
2024-04-06,"Dasani Water","Europe","Gas Station",1775,76,1.55742989278843,118.36467185192,"Summer Sale"
2024-01-04,"Coke Zero","Africa","Convenience Store",2115,19,1.70935252543312,32.4776979832292,"None"
2024-03-24,"Fanta Orange","Latin America","Convenience Store",7525,37,1.55288687784843,57.4568144803918,"None"
2024-01-16,"Coca-Cola Classic","Asia Pacific","Convenience Store",4158,71,1.33270855275545,94.6223072456368,"Summer Sale"
2024-04-14,"Fanta Orange","Africa","Vending Machine",5784,16,2.54625202063575,40.740032330172,"None"
2024-06-01,"Diet Coke","North America","Vending Machine",2836,38,3.00291729982969,114.110857393528,"BOGO"
2024-03-06,"Coca-Cola Classic","North America","Restaurant",7331,79,2.49604276832523,197.187378697693,"None"
2024-01-27,"Diet Coke","Europe","Convenience Store",1050,102,1.507759335143,153.791452184586,"BOGO"
2024-03-20,"Coke Zero","Europe","Supermarket",4963,145,2.34331221665624,339.780271415155,"BOGO"
2024-03-28,"Diet Coke","North America","Restaurant",7396,110,2.98513778721264,328.36515659339,"BOGO"
2024-01-30,"Sprite","Europe","Supermarket",3882,79,2.0438226393491,161.461988508579,"BOGO"
2024-02-04,"Coca-Cola Classic","North America","Restaurant",5506,73,3.39221289359245,247.631541232249,"None"
2024-04-20,"Diet Coke","Europe","Supermarket",7382,113,3.09279761000051,349.486129930058,"None"
2024-04-08,"Coke Zero","North America","Gas Station",7936,77,2.3798655839537,183.249649964435,"None"
2024-01-12,"Coca-Cola Classic","North America","Gas Station",7626,40,2.15914038678394,86.3656154713576,"New Product Launch"
2024-03-27,"Fanta Orange","Asia Pacific","Vending Machine",5599,25,2.22823504044592,55.705876011148,"None"
2024-01-12,"Fanta Orange","Europe","Gas Station",1905,34,1.85976655907728,63.2320630086275,"None"
2024-05-24,"Dasani Water","North America","Vending Machine",2899,52,1.87025198042946,97.2531029823317,"None"
2024-02-03,"Dasani Water","North America","Vending Machine",4359,17,2.62888863721475,44.6911068326508,"None"
2024-06-25,"Diet Coke","Europe","Vending Machine",7453,45,3.11091243434898,139.991059545704,"Summer Sale"
2024-03-18,"Coca-Cola Classic","North America","Convenience Store",5802,74,2.19291975919149,162.27606218017,"None"
2024-05-11,"Coca-Cola Classic","Asia Pacific","Supermarket",5542,140,2.1121318263948,295.698455695273,"None"
2024-02-16,"Coca-Cola Classic","North America","Vending Machine",252,22,2.57971422762228,56.7537130076903,"None"
2024-01-25,"Diet Coke","North America","Gas Station",2696,41,2.02347054639585,82.9622924022298,"BOGO"
2024-03-21,"Diet Coke","North America","Gas Station",3859,77,1.73870244088843,133.880087948409,"None"
2024-04-27,"Coke Zero","North America","Vending Machine",2521,29,2.78441424593376,80.7480131320789,"None"
2024-01-10,"Sprite","Europe","Vending Machine",1304,33,2.53011398024295,83.4937613480175,"BOGO"
2024-02-28,"Diet Coke","Latin America","Supermarket",4968,49,1.48541162003713,72.7851693818192,"Summer Sale"
2024-05-12,"Coke Zero","Europe","Supermarket",3672,64,2.23572192639701,143.086203289409,"None"
2024-06-14,"Fanta Orange","North America","Gas Station",3835,79,1.7462133588215,137.950855346898,"Summer Sale"
2024-06-27,"Sprite","Europe","Convenience Store",604,95,2.4662222909345,234.291117638778,"None"
2024-06-12,"Coke Zero","Asia Pacific","Vending Machine",1570,21,2.12523058105452,44.6298422021449,"Summer Sale"
2024-03-04,"Coca-Cola Classic","Europe","Vending Machine",355,77,3.4183667521206,263.214239913286,"None"
2024-01-22,"Coca-Cola Classic","North America","Vending Machine",4122,53,2.57316709196209,136.377855873991,"None"
2024-04-18,"Coca-Cola Classic","Europe","Gas Station",4931,82,1.68117306641707,137.8561914462,"New Product Launch"
2024-03-30,"Diet Coke","Europe","Restaurant",5203,67,4.92402084899135,329.90939688242,"None"
2024-03-14,"Diet Coke","Asia Pacific","Supermarket",2796,141,1.61083580186188,227.127848062525,"None"
2024-06-19,"Coke Zero","Asia Pacific","Convenience Store",6122,66,2.04801033350658,135.168682011434,"None"
2024-03-09,"Coke Zero","Europe","Supermarket",7435,103,1.8982980834037,195.524702590581,"None"
2024-03-30,"Diet Coke","Asia Pacific","Gas Station",3976,71,2.19664116780889,155.961522914431,"None"
2024-03-23,"Diet Coke","Europe","Vending Machine",7465,23,3.20284225525944,73.6653718709672,"None"
2024-05-19,"Coke Zero","Asia Pacific","Vending Machine",2758,19,2.56192987897071,48.6766677004434,"None"
2024-06-11,"Coca-Cola Classic","Asia Pacific","Vending Machine",3635,55,1.97131335170925,108.422234344009,"New Product Launch"
2024-02-09,"Dasani Water","Asia Pacific","Supermarket",1565,76,1.45117827074061,110.289548576286,"None"
2024-02-10,"Fanta Orange","Asia Pacific","Convenience Store",1294,36,1.72200195234314,61.9920702843529,"None"
2024-02-10,"Dasani Water","North America","Vending Machine",1326,32,2.12325034882613,67.9440111624363,"None"
2024-02-06,"Coke Zero","Latin America","Restaurant",7601,38,2.93313312907345,111.459058904791,"None"
2024-01-24,"Coca-Cola Classic","North America","Restaurant",4766,108,3.82780824242912,413.403290182345,"None"
2024-05-16,"Coca-Cola Classic","North America","Gas Station",3832,71,2.33022908227195,165.446264841308,"None"
2024-06-29,"Coca-Cola Classic","North America","Supermarket",7507,198,1.84691712615304,365.689590978303,"None"
2024-06-16,"Coke Zero","Asia Pacific","Vending Machine",4969,29,2.40683199187098,69.7981277642584,"None"
2024-06-03,"Coca-Cola Classic","North America","Gas Station",3994,106,2.42995632372671,257.575370315032,"None"
2024-06-24,"Coca-Cola Classic","North America","Vending Machine",2197,93,3.3580338647639,312.297149423043,"None"
2024-05-21,"Coca-Cola Classic","Europe","Gas Station",5292,49,1.97528429985221,96.7889306927585,"Summer Sale"
2024-06-28,"Diet Coke","Europe","Vending Machine",1841,54,2.68489185256277,144.98416003839,"Summer Sale"
2024-03-08,"Coke Zero","North America","Supermarket",5712,143,2.07707138175903,297.021207591541,"Summer Sale"
2024-02-20,"Diet Coke","Europe","Convenience Store",4361,62,1.98196915686382,122.882087725557,"None"
2024-04-08,"Diet Coke","Asia Pacific","Restaurant",2767,94,3.69173836182109,347.023406011183,"None"
2024-05-07,"Sprite","Europe","Convenience Store",2922,63,1.61925451346895,102.013034348544,"Summer Sale"
2024-01-27,"Coca-Cola Classic","Africa","Restaurant",1710,69,2.66367281160105,183.793424000472,"BOGO"
2024-01-04,"Coke Zero","Europe","Vending Machine",4050,22,4.48775922120704,98.7307028665549,"None"
2024-04-10,"Diet Coke","Asia Pacific","Restaurant",833,127,2.43006777704195,308.618607684328,"None"
2024-01-07,"Sprite","Asia Pacific","Supermarket",7207,101,2.08623003605201,210.709233641253,"BOGO"
2024-02-29,"Sprite","North America","Convenience Store",5382,46,1.74473808247753,80.2579517939665,"Holiday Special"
2024-05-08,"Coke Zero","Asia Pacific","Vending Machine",7276,16,2.37877538928225,38.0604062285159,"Summer Sale"
2024-06-04,"Coke Zero","North America","Convenience Store",290,58,1.76810435958107,102.550052855702,"BOGO"
2024-06-02,"Fanta Orange","North America","Convenience Store",2144,75,2.34380761750966,175.785571313224,"None"
2024-03-09,"Coca-Cola Classic","North America","Convenience Store",7131,126,2.0017912202551,252.225693752142,"BOGO"
2024-05-05,"Coca-Cola Classic","Europe","Vending Machine",7837,77,2.13984060931839,164.767726917516,"Summer Sale"
2024-01-06,"Coca-Cola Classic","North America","Vending Machine",6953,68,3.1421676483287,213.667400086351,"Summer Sale"
2024-03-06,"Coca-Cola Classic","North America","Restaurant",282,147,3.6344626095726,534.266003607172,"New Product Launch"
2024-04-30,"Diet Coke","Europe","Convenience Store",910,62,2.65692507545906,164.729354678462,"None"
2024-05-23,"Dasani Water","North America","Restaurant",7089,105,2.74300786338989,288.015825655938,"None"
2024-05-05,"Coca-Cola Classic","Latin America","Convenience Store",7743,56,1.56535792228764,87.6600436481078,"Summer Sale"
2024-04-20,"Coca-Cola Classic","Europe","Convenience Store",4821,88,2.24662113379857,197.702659774274,"None"
2024-03-29,"Sprite","Europe","Supermarket",4393,139,2.37001649621856,329.43229297438,"None"
2024-06-04,"Diet Coke","North America","Gas Station",3105,111,2.44288897239824,271.160675936204,"None"
2024-04-26,"Coca-Cola Classic","North America","Restaurant",7376,117,3.07881108079662,360.220896453205,"None"
2024-06-28,"Coca-Cola Classic","Latin America","Supermarket",1858,135,1.97528078916374,266.662906537105,"None"
2024-04-21,"Diet Coke","Europe","Convenience Store",5591,73,2.15440737143619,157.271738114842,"BOGO"
2024-04-18,"Coca-Cola Classic","North America","Gas Station",6714,55,1.91424389526753,105.283414239714,"Summer Sale"
2024-04-21,"Coke Zero","North America","Gas Station",4936,55,2.24019418563772,123.210680210074,"None"
2024-03-29,"Coke Zero","Latin America","Convenience Store",2046,44,1.43120868759296,62.9731822540901,"None"
2024-05-24,"Fanta Orange","Europe","Restaurant",1423,48,4.36573660894085,209.555357229161,"None"
2024-01-13,"Diet Coke","Asia Pacific","Convenience Store",1377,30,1.55824296977002,46.7472890931005,"None"
2024-03-09,"Coca-Cola Classic","Europe","Convenience Store",6989,89,2.50185291997908,222.664909878138,"New Product Launch"
2024-01-24,"Coca-Cola Classic","Asia Pacific","Restaurant",4172,77,2.88383702018721,222.055450554415,"None"
2024-03-14,"Coca-Cola Classic","North America","Convenience Store",6409,170,2.32668337524727,395.536173792036,"None"
2024-01-09,"Fanta Orange","Latin America","Restaurant",3338,32,2.64064166917139,84.5005334134846,"None"
2024-06-19,"Fanta Orange","Africa","Restaurant",3704,85,3.56977758410617,303.431094649024,"None"
2024-04-15,"Sprite","Latin America","Convenience Store",2442,48,1.71028031660451,82.0934551970166,"None"
2024-04-18,"Coca-Cola Classic","Asia Pacific","Supermarket",4267,90,1.52257872620567,137.03208535851,"None"
2024-04-20,"Coca-Cola Classic","Latin America","Convenience Store",324,80,1.89808646695106,151.846917356085,"None"
2024-02-19,"Dasani Water","Europe","Vending Machine",5860,23,2.01321556860036,46.3039580778083,"None"
2024-06-25,"Fanta Orange","Asia Pacific","Vending Machine",611,29,2.29909877778103,66.6738645556498,"Holiday Special"
2024-05-31,"Sprite","Asia Pacific","Restaurant",6078,145,3.54436026319764,513.932238163658,"None"
2024-03-31,"Coca-Cola Classic","North America","Convenience Store",1858,78,2.15321204846862,167.950539780553,"Holiday Special"
2024-03-13,"Diet Coke","North America","Vending Machine",4079,34,2.9336551549991,99.7442752699695,"Summer Sale"
2024-04-16,"Coke Zero","Europe","Supermarket",5907,117,1.75020086022645,204.773500646495,"BOGO"
2024-05-12,"Sprite","Asia Pacific","Convenience Store",2539,94,1.61231531454199,151.557639566947,"Summer Sale"
2024-06-10,"Coca-Cola Classic","Asia Pacific","Supermarket",6325,170,1.53771031617037,261.410753748963,"Summer Sale"
2024-03-04,"Coca-Cola Classic","Europe","Supermarket",2691,141,1.67304833947501,235.899815865976,"Summer Sale"
2024-06-16,"Diet Coke","Asia Pacific","Gas Station",7728,71,1.17619902171345,83.5101305416551,"Summer Sale"
2024-05-31,"Coca-Cola Classic","Asia Pacific","Vending Machine",5797,46,2.26473285011108,104.17771110511,"None"
2024-03-15,"Fanta Orange","Asia Pacific","Restaurant",4383,71,2.07813296275184,147.547440355381,"Summer Sale"
2024-05-31,"Coca-Cola Energy","North America","Convenience Store",3158,26,3.39785954556398,88.3443481846634,"Summer Sale"
2024-05-12,"Diet Coke","Europe","Vending Machine",170,32,3.4519996055365,110.463987377168,"None"
2024-01-10,"Diet Coke","Latin America","Gas Station",499,41,1.7811546314481,73.027339889372,"None"
2024-02-02,"Coca-Cola Energy","Asia Pacific","Restaurant",179,35,5.59047266128823,195.666543145088,"None"
2024-05-20,"Coca-Cola Classic","Europe","Restaurant",3558,212,2.90959088870163,616.833268404745,"None"
2024-06-08,"Diet Coke","North America","Restaurant",7573,104,3.70818749375155,385.651499350161,"Summer Sale"
2024-01-05,"Coca-Cola Classic","North America","Vending Machine",3709,24,3.08846636626692,74.123192790406,"None"
2024-01-08,"Sprite","North America","Vending Machine",1167,27,2.49245634516623,67.2963213194881,"New Product Launch"
2024-06-30,"Dasani Water","Asia Pacific","Supermarket",2400,128,0.913803318198395,116.966824729395,"BOGO"
2024-03-03,"Coca-Cola Energy","Europe","Vending Machine",5419,23,5.33184010206339,122.632322347458,"Summer Sale"
